,paper,schools,regions,COO
0,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,University of British Columbia;Carnegie Mellon University;Google;;University of California Berkeley;Carnegie-Mellon University,usa,usa
1,A Simple but Tough-to-Beat Baseline for Sentence Embeddings,Princeton University;Princeton University;Princeton University,usa,usa
2,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,Toyota Technological Institute at Chicago;Toyota Technological Institute at Chicago,NAN,NAN
3,MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset,Microsoft;Microsoft;Microsoft;Microsoft;Microsoft;Microsoft;Microsoft,NAN,NAN
4,Dynamic Steerable Frame Networks,University of Amsterdam;KU Leuven;University of Amsterdam,europe,nl
5,FILTER SHAPING FOR CONVOLUTIONAL NEURAL NETWORKS,Oregon State University;Oregon State University;Oregon State University;Oregon State University,usa,usa
6, A Theoretical Framework for Robustness of (Deep) Classifiers against Adversarial Samples,University of Virginia;University of Virginia;University of Virginia,usa,usa
7,Efficient Vector Representation for Documents through Corruption,Criteo,NAN,NAN
8,Adversarial Training Methods for Semi-Supervised Text Classification,"Preferred Networks, Inc.;Google;OpenAI",NAN,NAN
9,Neural Architecture Search with Reinforcement Learning,Google;Google,NAN,NAN
10,Decomposing Motion and Content for Natural Video Sequence Prediction,University of Michigan;Adobe Systems;POSTECH;Beihang University;University of Michigan,usa,usa
11,Maximum Entropy Flow Networks,Columbia University;Columbia University;Columbia University,usa,usa
12,beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
13,Soft Weight-Sharing for Neural Network Compression,"University of Amsterdam;;University of California, Irvine",usa,usa
14,Support Regularized Sparse Coding and Its Fast Encoder,";University of Illinois, Urbana Champaign;Microsoft;Snap Inc.;University of Illinois, Urbana Champaign",usa,usa
15,Stochastic Neural Networks for Hierarchical Reinforcement Learning,University of California Berkeley;OpenAI;OpenAI,NAN,NAN
16,Combining policy gradient and Q-learning,Google;Google;Google;Google,NAN,NAN
17,Recurrent Environment Simulators,Google;Google;Google;Google,NAN,NAN
18,Multi-Agent Cooperation and the Emergence of (Natural) Language,University of Trento;Facebook;University of Trento,europe,gr
19,Stick-Breaking Variational Autoencoders,"University of California, Irvine;University of California, Irvine",usa,usa
20,Sigma Delta Quantized Networks,;University of Amsterdam,europe,nl
21,Semi-supervised deep learning by metric embedding,"Technion, Technion;Technion, Technion",NAN,NAN
22,Adversarial Feature Learning,"University of California Berkeley;University of Texas, Austin;University of California Berkeley",usa,usa
23,Learning Visual Servoing with Deep Features and Fitted Q-Iteration,University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
24,Learning End-to-End Goal-Oriented Dialog,Facebook;Facebook;Facebook,NAN,NAN
25,Learning Graphical State Transitions,Harvey Mudd College,NAN,NAN
26,Revisiting Classifier Two-Sample Tests,Facebook;Facebook,NAN,NAN
27,Mollifying Networks,University of Montreal;University of Oxford;;University of Montreal,canada,ca
28,Introspection:Accelerating Neural Network Training By Learning Weight Evolution,;;Adobe Systems;Adobe Systems,NAN,NAN
29,Neural Program Lattices,Massachusetts Institute of Technology;Microsoft;Microsoft;Microsoft;Microsoft,NAN,NAN
30,Highway and Residual Networks learn Unrolled Iterative Estimation,IDSIA;IDSIA;IDSIA,asia,in
31,Hadamard Product for Low-rank Bilinear Pooling,Seoul National University;Seoul National University;Korea Advanced Institute of Science and Technology;NAVER;NAVER;Seoul National University,asia,kr
32,Machine Comprehension Using Match-LSTM and Answer Pointer,Singapore Management University;Singapore Management University,asia,sg
33,Unsupervised Cross-Domain Image Generation,Facebook;Facebook;Facebook,NAN,NAN
34,Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,Stanford University;Stanford University;SalesForce.com,NAN,NAN
35,Making Neural Programming Architectures Generalize via Recursion,University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
36,Generative Multi-Adversarial Networks,"University of Massachusetts, Amherst;University of Massachusetts, Amherst;University of Massachusetts, Amherst",usa,usa
37,Variational Recurrent Adversarial Deep Domain Adaptation,University of Southern California;University of Southern California;University of Southern California;University of Southern California,usa,usa
38,Data Noising as Smoothing in Neural Network Language Models,Stanford University;Stanford University;Stanford University;Stanford University;Stanford University;Stanford University;Stanford University,usa,usa
39,Deep Probabilistic Programming,Columbia University;Adobe Systems;Google;Google;Google;Columbia University,usa,usa
40,Hierarchical Multiscale Recurrent Neural Networks,University of Montreal;University of Montreal;University of Montreal,canada,ca
41,Programming With a Differentiable Forth Interpreter,University College London;University College London;University College London;University College London,europe,uk
42,Learning to Play in a Day: Faster Deep Reinforcement Learning by Optimality Tightening,";University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign",usa,usa
43,Energy-based Generative Adversarial Networks,New York University;New York University;New York University,usa,usa
44,Normalizing the Normalizers: Comparing and Extending Network Normalization Schemes,University of Toronto;University of Toronto;University of Toronto;University of Goettingen;University of Toronto,canada,ca
45,Learning through Dialogue Interactions by Asking Questions,Facebook;Facebook;Facebook;Facebook;Facebook,NAN,NAN
46,Third Person Imitation Learning,OpenAI;OpenAI;OpenAI,NAN,NAN
47,The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables,University of Oxford;Google;University of Oxford,europe,uk
48,Pruning Convolutional Neural Networks for Resource Efficient Inference,NVIDIA;NVIDIA;NVIDIA;NVIDIA;NVIDIA,NAN,NAN
49,Adaptive Feature Abstraction for Translating Video to Language,Duke University;NEC-Labs;Duke University;Duke University,europe,se
50,Learning Recurrent Representations for Hierarchical Behavior Modeling,California Institute of Technology;HHMI Janelia Research Campus;California Institute of Technology;California Institute of Technology,usa,usa
51,Generalizing Skills with Semi-Supervised Reinforcement Learning,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
52,Entropy-SGD: Biasing Gradient Descent Into Wide Valleys,"University of California, Los Angeles;New York University;University of California, Los Angeles;New York University;Politecnico di Torino;Microsoft;Microsoft;New York University;Politecnico di Torino",NAN,NAN
53,Tree-structured decoding with doubly-recurrent neural networks,Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
54,A Compositional Object-Based Approach to Learning Physical Dynamics,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
55,"Attend, Adapt and Transfer: Attentive Deep Architecture for Adaptive Transfer from multiple sources in the same domain",University of Michigan;;Indian Institute of Technology Madras;McGill University;Indian Institute of Technology Madras,NAN,NAN
56,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,Columbia University;Google;Stanford University;;;CERN;Stanford University;Columbia University,usa,usa
57,LR-GAN: Layered Recursive Generative Adversarial Networks for Image Generation,Virginia Tech;Facebook;Georgia Institute of Technology;Georgia Institute of Technology,usa,usa
58,Learning to Optimize,University of California Berkeley;University of California Berkeley,usa,usa
59,Variational Lossy Autoencoder,OpenAI;OpenAI;OpenAI;OpenAI;Massachusetts Institute of Technology;OpenAI;OpenAI;OpenAI,NAN,NAN
60,Improving Generative Adversarial Networks with Denoising Feature Matching,Google;University of Montreal,canada,ca
61,Emergence of foveal image sampling from learning to attend in visual scenes,University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
62,Words or Characters? Fine-grained Gating for Reading Comprehension,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
63,Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
64,Bidirectional Attention Flow for Machine Comprehension,University of Washington;Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;University of Washington,usa,usa
65,Query-Reduction Networks for Question Answering,University of Washington;Seoul National University;University of Washington;University of Washington,usa,usa
66,Training Compressed Fully-Connected Networks with a Density-Diversity Penalty,"University of Washington;University of Washington, Seattle;University of Washington, Seattle;University of Washington",usa,usa
67,Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,"University of California, Irvine;University of Edinburgh;Polytechnique Montreal;University of Alberta;University of Washington;Microsoft;Microsoft;Microsoft;Microsoft",NAN,NAN
68,Recurrent Hidden Semi-Markov Model,"Georgia Institute of Technology;Georgia Institute of Technology;Institute of automation, Chinese academy of science, Chinese Academy of Sciences;Georgia Institute of Technology;Georgia Institute of Technology",usa,usa
69,Lie-Access Neural Turing Machines,Harvard University;Harvard University,usa,usa
70,What does it take to generate natural textures?,"Centre for Integrative Neuroscience, AG Bethge;Centre for Integrative Neuroscience, AG Bethge;Centre for Integrative Neuroscience, AG Bethge;Centre for Integrative Neuroscience, AG Bethge",NAN,NAN
71,Tracking the World State with Recurrent Entity Networks,New York University;Facebook;Facebook;Facebook;Facebook,NAN,NAN
72,Training Agent for First-Person Shooter Game with Actor-Critic Curriculum Learning,Facebook;Facebook,NAN,NAN
73,Deep Biaffine Attention for Neural Dependency Parsing,Stanford University;Stanford University,usa,usa
74,Learning Curve Prediction with Bayesian Neural Networks,Universität Freiburg;Universität Freiburg;Universität Freiburg;Universität Freiburg,NAN,NAN
75,Deep Information Propagation,Google;Google;Stanford University;Google,NAN,NAN
76,Pruning Filters for Efficient ConvNets,"University of Maryland, College Park;NEC-Labs;NEC-Labs;University of Maryland, College Park;NEC-Labs",NAN,NAN
77,SGDR: Stochastic Gradient Descent with Warm Restarts,Universität Freiburg;Universität Freiburg,NAN,NAN
78,Program Synthesis for Character Level Language Modeling,Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology,NAN,NAN
79,Learning Invariant Feature Spaces to Transfer Skills with Reinforcement Learning,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
80,On the Quantitative Analysis of Decoder-Based Generative Models,University of Toronto;OpenAI;Carnegie Mellon University;University of Toronto,canada,ca
81,Tighter bounds lead to improved classifiers,,NAN,NAN
82,Topology and Geometry of Half-Rectified Network Optimization,University of California Berkeley;New York University,usa,usa
83,Quasi-Recurrent Neural Networks,SalesForce.com;SalesForce.com;SalesForce.com;SalesForce.com,NAN,NAN
84,Pointer Sentinel Mixture Models,SalesForce.com;SalesForce.com;SalesForce.com;SalesForce.com,NAN,NAN
85,Learning to Generate Samples from Noise through Infusion Training,University of Montreal;University of Montreal;University of Montreal,canada,ca
86,EPOpt: Learning Robust Neural Network Policies Using Model Ensembles,University of Washington;National Institute of Technology Karnataka;Indian Institute of Technology Madras;University of California Berkeley,usa,usa
87,Steerable CNNs,;University of Amsterdam,europe,nl
88,Learning to Perform Physics Experiments via Deep Reinforcement Learning,Google;University of California Berkeley;Google;Google;Google;Google,NAN,NAN
89,The Neural Noisy Channel,University of Oxford;Google;Google;Google;Google,NAN,NAN
90,Learning to Compose Words into Sentences with Reinforcement Learning,Google;Google;Google;Google;Google,NAN,NAN
91,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,Pennsylvania State University;Google;Google;OpenAI;Google,NAN,NAN
92,Diet Networks: Thin Parameters for Fat Genomics,University of Montreal;University of Montreal;University of Montreal;University of Montreal;;;University of Montreal;University of Oxford;University of Montreal,canada,ca
93,Autoencoding Variational Inference For Topic Models,University of Edinburgh;University of Edinburgh,europe,uk
94,Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,"Technical University Munich;Technical University Munich;Machine Learning Research Lab, Volkswagen Group;Machine Learning Research Lab, Volkswagen Group",NAN,NAN
95,Why Deep Neural Networks for Function Approximation?,"University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign",usa,usa
96,Reinforcement Learning with Unsupervised Auxiliary Tasks,Google;Google;Google;Google;Google;Google;Google,NAN,NAN
97,Improving Policy Gradient by Exploring Under-appreciated Rewards,Google;Google;Google,NAN,NAN
98,Mode Regularized Generative Adversarial Networks,University of Montreal;The Hong Kong Polytechnic University;University of Montreal;University of Montreal;The Hong Kong Polytechnic University,asia,hk
99,An Actor-Critic Algorithm for Sequence Prediction,Element AI;Google;University of California Berkeley;;McGill University;McGill University;University of Montreal;,asia,in
100,Trusting SVM for Piecewise Linear CNNs,University of Oxford;University of Oxford;University of Oxford,europe,uk
101,End-to-end Optimized Image Compression,New York University;Universitat de València;New York University,usa,usa
102,"Snapshot Ensembles: Train 1, Get M for Free",Cornell University;Cornell University;Cornell University;University of California Berkeley;Cornell University;Cornell University,usa,usa
103,Learning Features of Music From Scratch,"University of Washington;University of Washington;University of Washington, Seattle",NAN,NAN
104,DeepCoder: Learning to Write Programs,University of Cambridge;Microsoft;Microsoft;Microsoft;Microsoft,NAN,NAN
105,A Compare-Aggregate Model for Matching Text Sequences,Singapore Management University;Singapore Management University,asia,sg
106,Automatic Rule Extraction from Long Short Term Memory Networks,University of California Berkeley;Facebook,NAN,NAN
107,Capacity and Trainability in Recurrent Neural Networks,Google;Google;Google,NAN,NAN
108,Learning to Repeat: Fine Grained Action Repetition for Deep Reinforcement Learning,Indian Institute of Technology Madras;;Indian Institute of Technology Madras,NAN,NAN
109,Multi-view Recurrent Neural Acoustic Word Embeddings,Toyota Technological Institute at Chicago;Toyota Technological Institute at Chicago;Toyota Technological Institute at Chicago,NAN,NAN
110,Neuro-Symbolic Program Synthesis,Carnegie Mellon University;Microsoft;Microsoft;Microsoft;Microsoft;Microsoft,NAN,NAN
111,Learning to Remember Rare Events,Google;Google;Georgia Institute of Technology;Google,NAN,NAN
112,Discrete Variational Autoencoders,D-Wave Systems,NAN,NAN
113,Understanding Trainable Sparse Coding with Matrix Factorization,ENS Paris-Saclay;University of California Berkeley,usa,usa
114,"Learning to Query, Reason, and Answer Questions On Ambiguous Texts","International Business Machines;University of Michigan;University of Massachusetts, Amherst;International Business Machines;International Business Machines;International Business Machines;International Business Machines;International Business Machines;University of Michigan",usa,usa
115,Variable Computation in Recurrent Neural Networks,New York University;Facebook;Facebook;Facebook,NAN,NAN
116,Learning and Policy Search in Stochastic Dynamical Systems with Bayesian Neural Networks,Siemens Corporate Research;University of Cambridge;Harvard University;Siemens Corporate Research,NAN,NAN
117,Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU,"University of Illinois, Urbana-Champaign;NVIDIA;NVIDIA;NVIDIA;NVIDIA",NAN,NAN
118,Reasoning with Memory Augmented Neural Networks for Language Comprehension,UMass;UMass,NAN,NAN
119,Learning a Natural Language Interface with Neural Programmer,"University of Massachusetts, Amherst;Google;Google;University of Massachusetts, Amherst;OpenAI",NAN,NAN
120,Loss-aware Binarization of Deep Networks,The Hong Kong University of Science and Technology;The Hong Kong University of Science and Technology;The Hong Kong University of Science and Technology,NAN,NAN
121,Hyperband: Bandit-Based Configuration Evaluation for Hyperparameter Optimization,"University of California, Los Angeles;University of California Berkeley;New York University;Google;University of California, Los Angeles",usa,usa
122,Nonparametric Neural Networks,Carnegie Mellon University;Carnegie Mellon University,usa,usa
123,Improving Neural Language Models with a Continuous Cache,Facebook;Facebook;Facebook,NAN,NAN
124,Episodic Exploration for Deep Deterministic Policies for StarCraft Micromanagement,Facebook;Facebook;Facebook;Facebook,NAN,NAN
125,Lossy Image Compression with Compressive Autoencoders,Twitter;Twitter;Twitter;Twitter,NAN,NAN
126,Temporal Ensembling for Semi-Supervised Learning,NVIDIA;NVIDIA,NAN,NAN
127,Optimization as a Model for Few-Shot Learning,Twitter;Twitter;Princeton University,usa,usa
128,Towards a Neural Statistician,University of Edinburgh;University of Edinburgh,europe,uk
129,Faster CNNs with Direct Sparse Convolutions and Guided Pruning,Intel;Intel;Intel;Facebook;University of Pittsburgh;University of Pittsburgh;Intel,NAN,NAN
130,Boosted Generative Models,Stanford University;Stanford University,usa,usa
131,Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,Harvard University;Harvard University;Harvard University,usa,usa
132, Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,Google;Google;Jagiellonian University;Google;Google;Google;Google,NAN,NAN
133,Q-Prop: Sample-Efficient Policy Gradient with An Off-Policy Critic,University of Cambridge;Google;University of Cambridge;University of Cambridge;University of California Berkeley,usa,usa
134,Recurrent Batch Normalization,University of Montreal;University of Montreal;University of Montreal;University of Montreal;University of Montreal,canada,ca
135,Inductive Bias of Deep Convolutional Networks through Pooling Geometry,Hebrew University of Jerusalem;Hebrew University of Jerusalem,europe,il
136,,,NAN,NAN
137,Incremental Network Quantization: Towards Lossless CNNs with Low-precision Weights,Intel;Intel;Intel;Intel;Intel,NAN,NAN
138,DSD: Dense-Sparse-Dense Training for Deep Neural Networks,Stanford University;NVIDIA;Baidu;Stanford University;Stanford University;Stanford University;Google;Facebook;Facebook;NVIDIA;NVIDIA;Stanford University,usa,usa
139,TopicRNN: A Recurrent Neural Network with Long-Range Semantic Dependency,Columbia University;Microsoft;Microsoft;Columbia University,usa,usa
140,Efficient Representation of Low-Dimensional Manifolds using Deep Networks,"Weizmann Institute;University of Maryland, College Park",usa,usa
141,Training deep neural-networks using a noise adaptation layer,Bar Ilan University;,asia,in
142,SampleRNN: An Unconditional End-to-End Neural Audio Generation Model,University of Montreal;University of Montreal;Stanford University;;;University of Montreal;University of Montreal;University of Montreal,canada,ca
143,FractalNet: Ultra-Deep Neural Networks without Residuals,University of Chicago;Toyota Technological Institute at Chicago;Toyota Technological Institute at Chicago,NAN,NAN
144,Towards the Limit of Network Quantization,Samsung;Samsung;Samsung,NAN,NAN
145,Understanding deep learning requires rethinking generalization,Massachusetts Institute of Technology;Google;Google;University of California Berkeley;Google,NAN,NAN
146,Optimal Binary Autoencoding with Pairwise Correlations,Stanford University,usa,usa
147,Metacontrol for Adaptive Imagination-Based Optimization,University of California Berkeley;Google;Google;Google;Google;Google,NAN,NAN
148,Sparsely-Connected Neural Networks: Towards Efficient VLSI Implementation of Deep Neural Networks,McGill University;McGill University;McGill University,canada,ca
149,Calibrating Energy-based Generative Adversarial Networks,Google;Facebook;Microsoft;Carnegie Mellon University;University of Montreal,canada,ca
150,Designing Neural Network Architectures using Reinforcement Learning,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
151,Categorical Reparameterization with Gumbel-Softmax,Google;University of Cambridge;Stanford University,usa,usa
152,PixelVAE: A Latent Variable Model for Natural Images,"Stanford University;University of Montreal;University of Montreal;Google;Politecnico di Milano;Computer Vision Center, Universitat Autònoma de Barcelona;University of Montreal",canada,ca
153,Transfer of View-manifold Learning to Similarity Perception of Novel Objects,Peking University;Peking University;Carnegie Mellon University;Carnegie Mellon University;Johns Hopkins University;Carnegie Mellon University,usa,usa
154,Sample Efficient Actor-Critic with  Experience Replay,Google;Google;Google;Google;Google;Google;Google,NAN,NAN
155,Distributed Second-Order Optimization using Kronecker-Factored Approximations,University of Toronto;University of Toronto;University of Toronto,canada,ca
156,Learning to Navigate in Complex Environments,Google;Google;Google;Google;Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
157,Learning to superoptimize programs,University of Oxford;University of Oxford;University of Oxford;University of Oxford;Microsoft,NAN,NAN
158,Trained Ternary Quantization,"Tsinghua University, Tsinghua University;Stanford University;Stanford University;Stanford University",usa,usa
159,Online Bayesian Transfer Learning for Sequential Data Modeling,University of Waterloo;Huawei Technologies Ltd.;;University of Waterloo;University of Waterloo;University of Waterloo;University of Waterloo;Huawei Technologies Ltd.;University of Waterloo;University of Waterloo,canada,ca
160,Deep Variational Information Bottleneck,Google;Google;Google;Google,NAN,NAN
161,Exploring Sparsity in Recurrent Neural Networks,Baidu;Baidu;Baidu;Google,NAN,NAN
162,Neural Photo Editing with Introspective Adversarial Networks,Heriot-Watt University;Heriot-Watt University;Heriot-Watt University;Renishaw,NAN,NAN
163,Semi-Supervised Classification with Graph Convolutional Networks,University of Amsterdam;University of Amsterdam,europe,nl
164,Deep Learning with Dynamic Computation Graphs,Google;Google;Google;Google,NAN,NAN
165,A recurrent neural network without chaos,"Loyola Marymount University;California State University, Long Beach",NAN,NAN
166,Adversarially Learned Inference,University of Montreal;University of Montreal;Stanford University;;;;University of Montreal,canada,ca
167,Amortised MAP Inference for Image Super-resolution,Google;Twitter;Twitter;Twitter;Twitter,NAN,NAN
168,A STRUCTURED SELF-ATTENTIVE SENTENCE EMBEDDING,Shanghai Jiao Tong University;International Business Machines;International Business Machines;International Business Machines;International Business Machines;International Business Machines;University of Montreal,canada,ca
169,Geometry of Polysemy,"University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign",usa,usa
170,On Detecting Adversarial Perturbations,Bosch;Bosch;Bosch;Bosch,NAN,NAN
171,Frustratingly Short Attention Spans in Neural Language Modeling,University College London;University College London;University College London;University College London,europe,uk
172,Learning Invariant Representations Of Planar Curves ,"Technion, Technion;Technion, Technion;Technion, Technion",NAN,NAN
173,Deep Multi-task Representation Learning: A Tensor Factorisation Approach,Queen Mary University London;Queen Mary University London,europe,uk
174,Unrolled Generative Adversarial Networks,Google;Stanford University;Google;Google,NAN,NAN
175,Structured Attention Networks,Harvard University;Harvard University;Harvard University;Harvard University,usa,usa
176,HyperNetworks,Google;Google;Google,NAN,NAN
177,Dropout with Expectation-linear Regularization,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;;Carnegie Mellon University,usa,usa
178,Dynamic Coattention Networks For Question Answering,SalesForce.com;SalesForce.com;SalesForce.com,NAN,NAN
179,Visualizing Deep Neural Network Decisions: Prediction Difference Analysis,University of Oxford;University of Amsterdam;University of Cambridge;University of Amsterdam,europe,nl
180,Density estimation using Real NVP,Google;Google;Google,NAN,NAN
181,Dialogue Learning With Human-in-the-Loop,Facebook;Facebook;Facebook;Facebook;Facebook,NAN,NAN
182,Learning to Act by Predicting the Future,Google;Intel,NAN,NAN
183,"Offline bilingual word vectors, orthogonal transformations and the inverted softmax",babylon health;University of Cambridge;babylon health;babylon health,NAN,NAN
184,Paying More Attention to Attention: Improving the Performance of Convolutional Neural Networks via Attention Transfer,ENPC;ENPC,europe,ch
185,Recurrent Mixture Density Network for Spatiotemporal Visual Attention,Amazon;Université de Sherbrooke;Dartmouth College,usa,usa
186,Zoneout: Regularizing RNNs by Randomly Preserving Hidden Activations,;Polytechnique Montreal;Facebook,NAN,NAN
187,Adversarial Machine Learning at Scale,Google;OpenAI;Google,NAN,NAN
188,A Learned Representation For Artistic Style,;Google;Google,NAN,NAN
189,Batch Policy Gradient  Methods for  Improving Neural Conversation Models,Carnegie Mellon University;Google;Microsoft;Microsoft;Microsoft,NAN,NAN
190,Incorporating long-range consistency in CNN-based texture generation,University of Montreal;University of Montreal,canada,ca
191,Paleo: A Performance Model for Deep Neural Networks,"University of California, Los Angeles;University of California Berkeley;University of California, Los Angeles",usa,usa
192,On Large-Batch Training for Deep Learning: Generalization Gap and Sharp Minima,Northwestern University;Intel;Northwestern University;Intel;Intel,NAN,NAN
193,Predicting Medications from Diagnostic Codes with Recurrent Neural Networks,Vanderbilt University;Vanderbilt University,usa,usa
194,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,;Johns Hopkins University,usa,usa
195,Regularizing CNNs with Locally Constrained Decorrelations,"Computer Vision Center, Universitat Autònoma de Barcelona;Computer Vision Center, Universitat Autònoma de Barcelona;Visual-tagging;Visual-tagging",NAN,NAN
196,Generating Long and Diverse Responses with Neural Conversation Models,Google;Google;Google;Google;Google;Google,NAN,NAN
197,DeepDSL: A Compilation-based Domain-Specific Language for Deep Learning,"College of William and Mary;College of William and Mary;University of Massachusetts, Lowell",usa,usa
198,Delving into Transferable Adversarial Examples and Black-box Attacks,;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
199,Central Moment Discrepancy (CMD) for Domain-Invariant Representation Learning,Johannes Kepler University Linz;Software Competence Center Hagenberg;Johannes Kepler University Linz;Software Competence Center Hagenberg;Johannes Kepler University Linz,NAN,NAN
200,Towards Deep Interpretability (MUS-ROVER II): Learning Hierarchical Representations of Tonal Music,"University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign",usa,usa
201,PixelCNN++: Improving the PixelCNN with Discretized Logistic Mixture Likelihood and Other Modifications,OpenAI;OpenAI;OpenAI;OpenAI,NAN,NAN
202,Latent Sequence Decompositions,Carnegie Mellon University;Massachusetts Institute of Technology;Google;Google,NAN,NAN
203,HolStep: A Machine Learning Dataset for Higher-order Logic Theorem Proving,University of Innsbruck;Google;Google,NAN,NAN
204,Fine-grained Analysis of Sentence Embeddings Using Auxiliary Prediction Tasks,Facebook;International Business Machines;Massachusetts Institute of Technology;International Business Machines;Bar-Ilan University,europe,il
205,Learning similarity preserving representations with neural similarity and context encoders,TU Berlin;TU Berlin,europe,de
206,Memory-augmented Attention Modelling for Videos,"University of Texas, Arlington;Microsoft;;Microsoft;Microsoft",NAN,NAN
207,Neural Causal Regularization under the Independence of Mechanisms Assumption,Georgia Institute of Technology;California Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;;Georgia Institute of Technology,usa,usa
208,New Learning Approach By Genetic Algorithm In A Convolutional Neural Network For Pattern Recognition,;University of Tehran,europe,ch
209,Bit-Pragmatic Deep Neural Network Computing,;Toronto University;Toronto University;Toronto University;Toronto University,NAN,NAN
210,Learning Identity Mappings with Residual Gates,Federal University of Rio de Janeiro - UFRJ;Federal University of Rio de Janeiro - UFRJ;Federal University of Rio de Janeiro - UFRJ,NAN,NAN
211,Investigating Different Context Types and Representations for Learning Word Embeddings,"University of Illinois, Urbana-Champaign;University of Illinois, Urbana-Champaign;University of Illinois, Urbana-Champaign;;University of Illinois, Urbana-Champaign",usa,usa
212,Neural Combinatorial Optimization with Reinforcement Learning,Google;Google;Google;Google;Google,NAN,NAN
213,A Differentiable Physics Engine for Deep Learning in Robotics,;;;,asia,in
214,Two Methods for Wild Variational Inference,Dartmouth College;Dartmouth College,usa,usa
215,Sample Importance in Training Deep Neural Networks,"University of North Carolina, Chapel Hill;University of North Carolina, Chapel Hill",NAN,NAN
216,Neural Code Completion,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
217,Demystifying ResNet,"Tsinghua University, Tsinghua University;Stanford University;Stanford University;Stanford University",usa,usa
218,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,Toyota Technological Institute at Chicago;Toyota Technological Institute at Chicago,NAN,NAN
219,Tartan: Accelerating Fully-Connected and Convolutional Layers in Deep Learning Networks by Exploiting Numerical Precision Variability,Toronto University;Toronto University;Toronto University,NAN,NAN
220,Cooperative Training of Descriptor and Generator Networks,"University of California, Los Angeles;University of California, Los Angeles;University of California, Los Angeles;University of California, Los Angeles;University of California, Los Angeles",usa,usa
221,Regularizing Neural Networks by Penalizing Confident Output Distributions,Google;Google;Google;Google;Google,NAN,NAN
222,Song From PI: A Musically Plausible Network for Pop Music Generation,University of Toronto;University of Toronto;University of Toronto,canada,ca
223,Dataset Augmentation in Feature Space,University of Guelph;University of Guelph,canada,ca
224,Recurrent Neural Networks for Multivariate Time Series with Missing Values,University of Southern California;University of Southern California;New York University;New York University;University of Southern California,usa,usa
225,Counterpoint by Convolution,Mila;University of Montreal;Google;University of Montreal;Google,NAN,NAN
226,Fast Chirplet Transform to Enhance CNN Machine Listening - Validation on Animal calls and Speech,CNRS university Toulon;;Rice University,australasia,au
227,Finding a Jack-of-All-Trades: An Examination of Semi-supervised Learning in Reading Comprehension,International Business Machines;International Business Machines;International Business Machines;International Business Machines,NAN,NAN
228,Efficient Summarization with Read-Again and Copy Mechanism,"Tsinghua University, Tsinghua University;University of Toronto;University of Toronto;University of Toronto",canada,ca
